Company Account,Merchant Account,Psp Reference,Merchant Reference,Payment Method,Booking Date,TimeZone,Main Currency,Main Amount,Record Type,Payment Currency,Received (PC),Authorised (PC),Captured (PC),Settlement Currency,Payable (SC),Commission (SC),Markup (SC),Scheme Fees (SC),Interchange (SC),Processing Fee Currency,Processing Fee (FC),User Name,Payment Method Variant,Modification Merchant Reference,Reserved3,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10
AffiniPayLLC,AffiniPayLLCMP1,J54TRMQDKK74STT5,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-77wkYpKd7gH374Eb8teU0b,ach,2024-06-09 15:28:57,PDT,USD,1.53,Refunded,USD,,,1.50,USD,-1.53,0.03,,,,,,ws@Company.AffiniPayLLC,ach,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-7WMfAsWJN0vySBjIS6kXHs,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,NHQ8JMD3LDL2DTT5,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-4OcfjzbOl12dRJs0T3Al4I,ach,2024-06-09 17:33:43,PDT,USD,1.00,Expired,USD,,-1.00,,,,,,,,,,system,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,NGMXM4PP9HN776V5,6UAbGbbH5A4wlt0sDeHGBQ-5mzYwApS6Z9S9v53gC6FBJ-0xayFHARVHM4CC6ORKzTG9,ach,2024-06-09 17:34:43,PDT,USD,11.17,Expired,USD,,-11.17,,,,,,,,,,system,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,Q9KCHXTSHJTRF475,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-2wePhqw82hKOfPwk6NBkA9,ach,2024-06-09 17:38:13,PDT,USD,50.74,Expired,USD,,-50.74,,,,,,,,,,system,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,KRCD9JBFNL5VZK65,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-5k6jimyZjAaZrGOQ6dHmrp,visa,2024-06-09 17:40:25,PDT,USD,49.77,Expired,USD,,-49.77,,,,,,,,,,system,visacredit,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,G27HFJBFNL5VZK65,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-2QgVnZdvQ0ODv5m7yBmJd8,visa,2024-06-09 17:40:38,PDT,USD,59.60,Expired,USD,,-59.60,,,,,,,,,,system,visacredit,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,GL9L6M8DX5252VT5,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-5XOsjQr08FzxEXIKYx63RG,ach,2024-06-09 17:42:13,PDT,USD,30.04,Expired,USD,,-30.04,,,,,,,,,,system,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,VK9L6M8DX5252VT5,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-41WZpQWYs4abuLwF0QFPqi,ach,2024-06-09 17:42:13,PDT,USD,49.00,Expired,USD,,-49.00,,,,,,,,,,system,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,VKZ2DLNHV8526TT5,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-6n04KhsA9MtriioNXuDdvt,visa,2024-06-09 17:42:24,PDT,USD,1.00,Received,USD,1.00,,,,,,,,,USD,0.10,ws@Company.AffiniPayLLC,visacredit,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,VKZ2DLNHV8526TT5,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-6n04KhsA9MtriioNXuDdvt,visa,2024-06-09 17:42:25,PDT,USD,1.00,Authorised,USD,-1.00,1.00,,,,,,,,,,ws@Company.AffiniPayLLC,visacredit,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,Z6Z8XX6NKVBVL3V5,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-0FzhSFdDuyYgkqKvvinVOP,visa,2024-06-09 17:42:27,PDT,USD,1.00,Received,USD,1.00,,,,,,,,,USD,0.10,ws@Company.AffiniPayLLC,visacredit,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,Z6Z8XX6NKVBVL3V5,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-0FzhSFdDuyYgkqKvvinVOP,visa,2024-06-09 17:42:28,PDT,USD,1.00,Authorised,USD,-1.00,1.00,,,,,,,,,,ws@Company.AffiniPayLLC,visacredit,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,T5SFZC686D22P4V5,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-5JEItPloRNUHY04iE95XNf,ach,2024-06-09 17:42:30,PDT,USD,1.00,Received,USD,1.00,,,,,,,,,USD,0.10,ws@Company.AffiniPayLLC,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,T5SFZC686D22P4V5,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-5JEItPloRNUHY04iE95XNf,ach,2024-06-09 17:42:30,PDT,USD,1.00,Authorised,USD,-1.00,1.00,,,,,,,,,,ws@Company.AffiniPayLLC,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,N5C3KLNHV8526TT5,4X6FQGhK5CXhdAlJcS2D6U-2PNHPrN6ZevYxbm641gH6t-5tIVd9uprnp2eaSuZDbCMt,visa,2024-06-09 17:42:46,PDT,USD,11.11,Authorised,USD,-11.11,11.11,,,,,,,,,,ws@Company.AffiniPayLLC,visadebit,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,N5C3KLNHV8526TT5,4X6FQGhK5CXhdAlJcS2D6U-2PNHPrN6ZevYxbm641gH6t-5tIVd9uprnp2eaSuZDbCMt,visa,2024-06-09 17:42:46,PDT,USD,11.11,Received,USD,11.11,,,,,,,,,USD,0.10,ws@Company.AffiniPayLLC,visadebit,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,F3J2R5NTRC9GBQ65,0IpE3DufMQDgbo2Fl6VCw9-2vldNyhevPwZUpPPJpyo9e-4ocBCP9vqg68LM1oWHnckT,visa,2024-06-09 17:42:47,PDT,USD,11.20,Expired,USD,,-11.20,,,,,,,,,,system,visadebit,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,SGX2JC6MM8THSXT5,4X6FQGhK5CXhdAlJcS2D6U-2PNHPrN6ZevYxbm641gH6t-3A5x7bLyLw3wpaeGsbpSD3,visa,2024-06-09 17:42:52,PDT,USD,11.11,Received,USD,11.11,,,,,,,,,USD,0.10,ws@Company.AffiniPayLLC,visadebit,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,SGX2JC6MM8THSXT5,4X6FQGhK5CXhdAlJcS2D6U-2PNHPrN6ZevYxbm641gH6t-3A5x7bLyLw3wpaeGsbpSD3,visa,2024-06-09 17:42:52,PDT,USD,11.11,Authorised,USD,-11.11,11.11,,,,,,,,,,ws@Company.AffiniPayLLC,visadebit,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,GZ4K7Z6NKVBVL3V5,4X6FQGhK5CXhdAlJcS2D6U-2PNHPrN6ZevYxbm641gH6t-0erT695otov0aunOC0Gb9b,visa,2024-06-09 17:42:59,PDT,USD,11.20,Received,USD,11.20,,,,,,,,,USD,0.10,ws@Company.AffiniPayLLC,visadebit,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,GZ4K7Z6NKVBVL3V5,4X6FQGhK5CXhdAlJcS2D6U-2PNHPrN6ZevYxbm641gH6t-0erT695otov0aunOC0Gb9b,visa,2024-06-09 17:42:59,PDT,USD,11.20,Authorised,USD,-11.20,11.20,,,,,,,,,,ws@Company.AffiniPayLLC,visadebit,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,QJMG8Z6NKVBVL3V5,4X6FQGhK5CXhdAlJcS2D6U-2PNHPrN6ZevYxbm641gH6t-7EAvHrUKOOfOPE2vAuZZyz,visa,2024-06-09 17:43:03,PDT,USD,11.12,Authorised,USD,-11.12,11.12,,,,,,,,,,ws@Company.AffiniPayLLC,visadebit,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,QJMG8Z6NKVBVL3V5,4X6FQGhK5CXhdAlJcS2D6U-2PNHPrN6ZevYxbm641gH6t-7EAvHrUKOOfOPE2vAuZZyz,visa,2024-06-09 17:43:03,PDT,USD,11.12,Received,USD,11.12,,,,,,,,,USD,0.10,ws@Company.AffiniPayLLC,visadebit,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,WBBTPLNHV8526TT5,4X6FQGhK5CXhdAlJcS2D6U-2PNHPrN6ZevYxbm641gH6t-6TbP6vsaaCSUbKaaEcenfF,visa,2024-06-09 17:43:07,PDT,USD,11.13,Authorised,USD,-11.13,11.13,,,,,,,,,,ws@Company.AffiniPayLLC,visadebit,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,WBBTPLNHV8526TT5,4X6FQGhK5CXhdAlJcS2D6U-2PNHPrN6ZevYxbm641gH6t-6TbP6vsaaCSUbKaaEcenfF,visa,2024-06-09 17:43:07,PDT,USD,11.13,Received,USD,11.13,,,,,,,,,USD,0.10,ws@Company.AffiniPayLLC,visadebit,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,RFL4ZP2B26252VT5,4X6FQGhK5CXhdAlJcS2D6U-2PNHPrN6ZevYxbm641gH6t-3sfEeVsNWs2b1aT4EUfWqj,ach,2024-06-09 17:43:14,PDT,USD,11.14,Authorised,USD,-11.14,11.14,,,,,,,,,,ws@Company.AffiniPayLLC,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,RFL4ZP2B26252VT5,4X6FQGhK5CXhdAlJcS2D6U-2PNHPrN6ZevYxbm641gH6t-3sfEeVsNWs2b1aT4EUfWqj,ach,2024-06-09 17:43:14,PDT,USD,11.14,Received,USD,11.14,,,,,,,,,USD,0.10,ws@Company.AffiniPayLLC,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,L32DDD686D22P4V5,4X6FQGhK5CXhdAlJcS2D6U-2PNHPrN6ZevYxbm641gH6t-0Vz5C8gz3ADM2DzDiBrg22,ach,2024-06-09 17:43:18,PDT,USD,11.15,Authorised,USD,-11.15,11.15,,,,,,,,,,ws@Company.AffiniPayLLC,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,L32DDD686D22P4V5,4X6FQGhK5CXhdAlJcS2D6U-2PNHPrN6ZevYxbm641gH6t-0Vz5C8gz3ADM2DzDiBrg22,ach,2024-06-09 17:43:18,PDT,USD,11.15,Received,USD,11.15,,,,,,,,,USD,0.10,ws@Company.AffiniPayLLC,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,RG4766NTRC9GBQ65,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-75bZAjBY89lOOuORLITcTg,visa,2024-06-09 17:43:20,PDT,USD,1.00,Expired,USD,,-1.00,,,,,,,,,,system,visacredit,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,DB8V66NTRC9GBQ65,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-2OddoLrVnAD3JiZveWSPFc,visa,2024-06-09 17:43:22,PDT,USD,1.00,Expired,USD,,-1.00,,,,,,,,,,system,visacredit,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,F9MW2Q2B26252VT5,4X6FQGhK5CXhdAlJcS2D6U-2PNHPrN6ZevYxbm641gH6t-5JjDVeOSP1vnq4Sj0NahYq,ach,2024-06-09 17:43:22,PDT,USD,11.15,Received,USD,11.15,,,,,,,,,USD,0.10,ws@Company.AffiniPayLLC,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,F9MW2Q2B26252VT5,4X6FQGhK5CXhdAlJcS2D6U-2PNHPrN6ZevYxbm641gH6t-5JjDVeOSP1vnq4Sj0NahYq,ach,2024-06-09 17:43:22,PDT,USD,11.15,Authorised,USD,-11.15,11.15,,,,,,,,,,ws@Company.AffiniPayLLC,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,XG5JKWS3H8SRHBV5,4X6FQGhK5CXhdAlJcS2D6U-2PNHPrN6ZevYxbm641gH6t-2TAtmzoULPxbYgZC9mMefa,ach,2024-06-09 17:43:28,PDT,USD,11.16,Authorised,USD,-11.16,11.16,,,,,,,,,,ws@Company.AffiniPayLLC,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,XG5JKWS3H8SRHBV5,4X6FQGhK5CXhdAlJcS2D6U-2PNHPrN6ZevYxbm641gH6t-2TAtmzoULPxbYgZC9mMefa,ach,2024-06-09 17:43:28,PDT,USD,11.16,Received,USD,11.16,,,,,,,,,USD,0.10,ws@Company.AffiniPayLLC,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,S7KV5Q2B26252VT5,4X6FQGhK5CXhdAlJcS2D6U-2PNHPrN6ZevYxbm641gH6t-1uFVNIbpxh43PCzHTviMIR,ach,2024-06-09 17:43:35,PDT,USD,11.16,Received,USD,11.16,,,,,,,,,USD,0.10,ws@Company.AffiniPayLLC,ach,,,,,,,,,
AffiniPayLLC,AffiniPayLLCMP1,S7KV5Q2B26252VT5,4X6FQGhK5CXhdAlJcS2D6U-2PNHPrN6ZevYxbm641gH6t-1uFVNIbpxh43PCzHTviMIR,ach,2024-06-09 17:43:35,PDT,USD,11.16,Authorised,USD,-11.16,11.16,,,,,,,,,,ws@Company.AffiniPayLLC,ach,,,,,,,,,
